"","Component","230523s016_QC1_1.mzML","230523s017_QC2_1.mzML","230523s018_A081.mzML","230523s020_A254.mzML","230523s021_A158.mzML","230523s022_A521.mzML","230523s028_QC1_2.mzML","230523s029_QC2_2.mzML","230523s030_A043.mzML","230523s031_A551.mzML","230523s032_A566.mzML","230523s033_A513.mzML","230523s040_QC1_3.mzML","230523s041_QC2_3.mzML"
"1","131",11.3300335112706,7.73006154543679,9.40614681425892,10.3274184971634,7.72621591707326,7.1520697852105,7.38211216077559,8.12942516549435,6.68050170451111,11.1992974131382,9.42211021499944,11.5326945908702,8.1693520332005,8.55389159928626
"2","1576",8.6695740094689,9.00768887804098,8.0738295950417,11.096169878661,8.15985297843226,11.0619464166582,9.72317852961895,8.44224589803659,9.13911309237293,8.56181921432339,10.85006310113,6.76263696462489,11.2427215054108,10.7514367594678
"3","1577",3.81755151119462,5.2478732608521,5.88852890220976,3.86313793848779,6.44594614496854,3.74915153939153,6.39984992154364,3.72175765930129,6.5793308638169,3.74895886200313,3.9166452190615,3.83207536665411,6.81192103211455,6.02896294461845
"4","1578",6.41300502934386,10.8891132749973,7.20805525355424,6.83091638137657,6.56423004634543,7.12320384145175,10.98549092403,6.37637817102902,6.8744841924409,6.79044223647085,6.69731102382928,6.78601952665989,7.06194554833471,7.01967534748598
"5","1583",11.7175623558744,15.2446066678402,10.4818879014138,7.02459828257737,13.3278339395341,10.0149764351961,12.7386261924512,12.8073370561257,18.8926044118536,20.2224651485926,14.3204044654865,3.62667931211715,8.91214157947208,9.92040682160826
"6","179",8.11159567633975,8.64107324563686,9.4901127256617,7.54943499183337,8.40065088986453,6.56679760461997,8.4161146425549,10.0421287987703,7.58832449617973,9.27160704787148,11.8695467683677,12.9738011386768,8.58128401950637,9.4648723918794
"7","183",11.0512968168979,3.75922164142377,7.62053609814695,6.15733499224856,3.99893181401951,10.2580558535109,13.0260800843985,15.3512819435604,7.72091144185026,4.19929996608298,11.5601712146528,13.6732689951608,13.0574711971895,20.69629446265
"8","331",7.66327087858548,11.4255044679666,8.5960520429109,9.18094194446412,7.08870748492827,7.7305776294784,12.6477125415648,9.6170800545387,11.2335459650343,8.95720356678526,10.4448318139865,18.2622691764603,9.13847856941893,8.48385465810636
"9","7",10.2100445376534,8.82093366753085,22.4154644541211,12.2769435452988,3.6307411394749,5.67994823879942,7.80114193398586,11.5052253920596,11.7537008502355,5.00741728577456,11.4486820828983,NA,15.5447461225714,10.0393684158895
"10","9",14.2675799128501,17.7014602031412,15.4388145165568,8.47554840639385,8.94985208385945,9.36614573531135,17.4409133375476,14.2101835004818,18.9740648684986,14.6365152539633,14.735779527638,20.4842382470612,14.1116379569326,13.5555783553272
